"X","Y","X1999.09.13_TPZ","X1999.09.13_NDVI","X2002.08.20_TPZ","X2002.08.20_NDVI","CLC06","CLC06_p_lato","odl_od_morza","InsCalk_1999.09","InsCalk_2002.08"
474120,5967120,-999,-999,31.741272,0.148936,211,3,13652.1094,48.318871,64.146065
473160,5967150,-999,-999,23.410187,0.45283,231,3,12984.2139,48.459084,64.263626
472680,5967180,-999,-999,22.309906,0.433628,231,3,12632.9922,48.306839,64.133209
473790,5967180,-999,-999,23.68689,0.352941,211,3,13386.1201,47.812607,63.692688
473520,5967390,-999,-999,22.188599,0.436364,231,3,13049.8271,48.301468,64.128189
473880,5967390,-999,-999,27.868256,0.2,211,3,13290.9141,48.304581,64.131729
473370,5967450,-999,-999,24.261871,0.403846,231,3,12905.7549,48.300926,64.1278
471990,5967510,-999,-999,31.213776,0.166667,242,2,11926.4619,47.376858,63.308701
472800,5967720,-999,-999,22.897949,0.341463,243,3,12325.0352,48.757721,64.529961
470580,5967750,-999,-999,28.150696,0.308411,243,3,10843.1221,48.428398,64.19445
472860,5967780,-999,-999,23.379547,0.341176,243,3,12322.3701,48.820114,64.58757
458640,5967870,-999,-999,20.132507,0.436364,411,5,5965.24951,48.293968,64.121185
473010,5967930,-999,-999,32.897003,0.170732,211,3,12307.498,49.709854,65.368401
458190,5968050,-999,-999,21.001984,0.401869,411,5,5728.4292,48.824329,64.587982
471690,5968200,-999,-999,24.998199,0.309735,243,3,11212.1367,54.551609,69.442581
474120,5968200,-999,-999,26.158539,0.051282,211,3,12876.8516,48.275795,64.1008
468630,5968260,-999,-999,20.82785,0.386364,312,4,9297.58008,50.530945,66.092987
